3.1801884174346924, Quadrant 1, Unknown Colour,Entered
3.1801884174346924, Quadrant 2, Unknown Colour,Entered
3.1801884174346924, Quadrant 3, Unknown Colour,Entered
3.1801884174346924, Quadrant 4, Unknown Colour,Entered
3.8414978981018066, Quadrant 1, Unknown Colour,Exited
3.8414978981018066, Quadrant 2, Unknown Colour,Exited
3.8414978981018066, Quadrant 4, Unknown Colour,Exited
4.564520359039307, Quadrant 1, Unknown Colour,Entered
4.564520359039307, Quadrant 2, Unknown Colour,Entered
5.213334560394287, Quadrant 1, Unknown Colour,Exited
8.854157209396362, Quadrant 1, Unknown Colour,Entered
8.854157209396362, Quadrant 4, Unknown Colour,Entered
10.36307144165039, Quadrant 1, Unknown Colour,Exited
12.04623293876648, Quadrant 1, Unknown Colour,Entered
14.832738637924194, Quadrant 2, Unknown Colour,Exited
16.23493766784668, Quadrant 4, Unknown Colour,Exited
18.332468271255493, Quadrant 1, Unknown Colour,Exited
19.718283891677856, Quadrant 1, Unknown Colour,Entered
19.718283891677856, Quadrant 4, Unknown Colour,Entered
20.39490580558777, Quadrant 1, Unknown Colour,Exited
21.774861574172974, Quadrant 1, Unknown Colour,Entered
21.774861574172974, Quadrant 2, Unknown Colour,Entered
22.4518826007843, Quadrant 1, Unknown Colour,Exited
23.80332922935486, Quadrant 1, Unknown Colour,Entered
23.80332922935486, Quadrant 3, Unknown Colour,Exited
24.477663040161133, Quadrant 1, Unknown Colour,Exited
26.596386909484863, Quadrant 1, Unknown Colour,Entered
26.596386909484863, Quadrant 3, Unknown Colour,Entered
27.286356687545776, Quadrant 1, Unknown Colour,Exited
28.615005254745483, Quadrant 1, Unknown Colour,Entered
32.744154930114746, Quadrant 2, Unknown Colour,Exited
34.131120443344116, Quadrant 1, Unknown Colour,Exited
35.500288248062134, Quadrant 3, Unknown Colour,Exited
36.812581300735474, Quadrant 1, Unknown Colour,Entered
36.812581300735474, Quadrant 2, Unknown Colour,Entered
37.48866271972656, Quadrant 2, Unknown Colour,Exited
37.48866271972656, Quadrant 3, Unknown Colour,Entered
38.14835810661316, Quadrant 1, Unknown Colour,Exited
38.820340394973755, Quadrant 1, Unknown Colour,Entered
41.52963185310364, Quadrant 4, Unknown Colour,Exited
42.1748423576355, Quadrant 4, Unknown Colour,Entered
44.18076133728027, Quadrant 2, Unknown Colour,Entered
48.20157313346863, Quadrant 1, Unknown Colour,Exited
48.20157313346863, Quadrant 2, Unknown Colour,Exited
48.20157313346863, Quadrant 4, Unknown Colour,Exited
48.86024451255798, Quadrant 1, Unknown Colour,Entered
48.86024451255798, Quadrant 3, Unknown Colour,Exited
49.52264404296875, Quadrant 1, Unknown Colour,Exited
50.99644994735718, Quadrant 1, Unknown Colour,Entered
53.031426668167114, Quadrant 2, Unknown Colour,Entered
53.031426668167114, Quadrant 3, Unknown Colour,Entered
53.032424449920654, Quadrant 4, Unknown Colour,Entered
53.74117398262024, Quadrant 2, Unknown Colour,Exited
53.74117398262024, Quadrant 4, Unknown Colour,Exited
55.09753489494324, Quadrant 2, Unknown Colour,Entered
56.406166076660156, Quadrant 4, Unknown Colour,Entered
61.181992053985596, Quadrant 1, Unknown Colour,Exited
61.8813898563385, Quadrant 1, Unknown Colour,Entered
61.8813898563385, Quadrant 2, Unknown Colour,Exited
62.563185930252075, Quadrant 1, Unknown Colour,Exited
62.563185930252075, Quadrant 4, Unknown Colour,Exited
63.27642011642456, Quadrant 3, Unknown Colour,Exited
65.3508849143982, Quadrant 1, Unknown Colour,Entered
67.41824531555176, Quadrant 2, Unknown Colour,Entered
70.8245792388916, Quadrant 4, Unknown Colour,Entered
71.50744032859802, Quadrant 3, Unknown Colour,Entered
Elapsed time: 00:01:15.656201
